sexe_annee_dpt,annee,top,cla_age_5,sexe,dept,Npop,prev
9_2015_08,2015,,tsage,9,08,264360,5.039
1_2015_09,2015,,00-04,1,09,3480,0
2_2015_09,2015,,00-04,2,09,3330,0
9_2015_09,2015,,00-04,9,09,6800,0
1_2015_09,2015,,05-09,1,09,4110,0
2_2015_09,2015,,05-09,2,09,3740,0
9_2015_09,2015,,05-09,9,09,7850,0
1_2015_09,2015,,10-14,1,09,3960,0
2_2015_09,2015,,10-14,2,09,3910,0
9_2015_09,2015,,10-14,9,09,7870,0
1_2015_09,2015,,15-19,1,09,3910,0.281
2_2015_09,2015,,15-19,2,09,3810,0.368
9_2015_09,2015,,15-19,9,09,7720,0.324
1_2015_09,2015,,20-24,1,09,3320,0.513
2_2015_09,2015,,20-24,2,09,3370,1.542
9_2015_09,2015,,20-24,9,09,6690,1.032
1_2015_09,2015,,25-29,1,09,3420,1.402
2_2015_09,2015,,25-29,2,09,3440,1.571
9_2015_09,2015,,25-29,9,09,6860,1.487
1_2015_09,2015,,30-34,1,09,3530,1.811
2_2015_09,2015,,30-34,2,09,3840,2.918
9_2015_09,2015,,30-34,9,09,7370,2.387
1_2015_09,2015,,35-39,1,09,3850,2.627
2_2015_09,2015,,35-39,2,09,4240,5.052
9_2015_09,2015,,35-39,9,09,8080,3.898
1_2015_09,2015,,40-44,1,09,4360,2.409
2_2015_09,2015,,40-44,2,09,4720,6.951
9_2015_09,2015,,40-44,9,09,9080,4.77
1_2015_09,2015,,45-49,1,09,4690,3.473
2_2015_09,2015,,45-49,2,09,4930,7.123
9_2015_09,2015,,45-49,9,09,9620,5.342
1_2015_09,2015,,50-54,1,09,5030,3.68
2_2015_09,2015,,50-54,2,09,5230,8.34
